time,x_2dot,x_dot,x,z_2dot,z_dot,z,slip_ratio,F_DP,F_z,h
0.11,0.22856,0.0219657,0.00107731,-0.183459,0.0284384,0.00288253,0.780343,1.48143,11.7473,0.00816848
0.111,0.227912,0.0221936,0.00109951,-0.185274,0.0282532,0.00291078,0.778064,1.47659,11.7596,0.00819673
0.112,0.227167,0.0224207,0.00112193,-0.187175,0.028066,0.00293885,0.775793,1.47212,11.7702,0.0082248
0.113,0.226481,0.0226472,0.00114458,-0.188798,0.0278772,0.00296672,0.773528,1.46754,11.7802,0.00825267
0.114,0.225775,0.022873,0.00116745,-0.190331,0.0276869,0.00299441,0.77127,1.46284,11.7895,0.00828036
0.115,0.225052,0.023098,0.00119055,-0.191776,0.0274951,0.00302191,0.76902,1.45852,11.7972,0.00830786
0.116,0.224387,0.0233224,0.00121387,-0.19296,0.0273021,0.00304921,0.766776,1.45359,11.8056,0.00833516
0.117,0.223629,0.0235461,0.00123741,-0.19424,0.0271079,0.00307632,0.764539,1.44856,11.8133,0.00836227
0.118,0.222855,0.0237689,0.00126118,-0.195438,0.0269124,0.00310323,0.762311,1.44342,11.8206,0.00838918
0.119,0.222065,0.023991,0.00128517,-0.196554,0.0267159,0.00312995,0.76009,1.43867,11.8262,0.00841589
0.12,0.221333,0.0242123,0.00130939,-0.197421,0.0265185,0.00315646,0.757877,1.43333,11.8325,0.00844241
0.121,0.220513,0.0244328,0.00133382,-0.198386,0.0263201,0.00318278,0.755672,1.42791,11.8383,0.00846873
0.122,0.219678,0.0246525,0.00135847,-0.199275,0.0261208,0.0032089,0.753475,1.42287,11.8425,0.00849485
0.123,0.218903,0.0248714,0.00138334,-0.199925,0.0259209,0.00323483,0.751286,1.41727,11.8474,0.00852077
0.124,0.218041,0.0250895,0.00140843,-0.200673,0.0257202,0.00326055,0.749105,1.41205,11.8507,0.00854649
0.125,0.217239,0.0253067,0.00143374,-0.201187,0.025519,0.00328606,0.746933,1.40675,11.8536,0.00857201
0.126,0.216424,0.0255231,0.00145926,-0.201638,0.0253174,0.00331138,0.744769,1.40138,11.8562,0.00859733
0.127,0.215596,0.0257387,0.001485,-0.202029,0.0251154,0.0033365,0.742613,1.39546,11.8594,0.00862245
0.128,0.214686,0.0259534,0.00151095,-0.20252,0.0249128,0.00336141,0.740466,1.38993,11.8611,0.00864736
0.129,0.213836,0.0261672,0.00153712,-0.202788,0.02471,0.00338612,0.738328,1.38434,11.8625,0.00867207
0.13,0.212975,0.0263802,0.0015635,-0.202999,0.024507,0.00341063,0.736198,1.37867,11.8635,0.00869658
0.131,0.212103,0.0265923,0.00159009,-0.203156,0.0243039,0.00343493,0.734077,1.37294,11.8642,0.00872088
0.132,0.211222,0.0268035,0.0016169,-0.203259,0.0241006,0.00345903,0.731965,1.36715,11.8645,0.00874498
0.133,0.210331,0.0270139,0.00164391,-0.203309,0.0238973,0.00348293,0.729861,1.3613,11.8645,0.00876888
0.134,0.209431,0.0272233,0.00167114,-0.203309,0.023694,0.00350662,0.727767,1.35583,11.8632,0.00879257
0.135,0.20859,0.0274319,0.00169857,-0.203109,0.0234909,0.00353011,0.725681,1.34987,11.8626,0.00881606
0.136,0.207673,0.0276396,0.00172621,-0.203017,0.0232879,0.0035534,0.723604,1.34386,11.8617,0.00883935
0.137,0.206748,0.0278463,0.00175405,-0.202877,0.023085,0.00357649,0.721537,1.33823,11.8595,0.00886244
0.138,0.205881,0.0280522,0.00178211,-0.202545,0.0228825,0.00359937,0.719478,1.33212,11.8581,0.00888532
0.139,0.204942,0.0282571,0.00181036,-0.202321,0.0226801,0.00362205,0.717429,1.32639,11.8554,0.008908
0.14,0.20406,0.0284612,0.00183882,-0.201909,0.0224782,0.00364453,0.715388,1.3202,11.8534,0.00893048
0.141,0.203108,0.0286643,0.00186749,-0.201604,0.0222766,0.0036668,0.713357,1.31439,11.8503,0.00895275
0.142,0.202213,0.0288665,0.00189635,-0.201117,0.0220755,0.00368888,0.711335,1.30812,11.8478,0.00897483
0.143,0.201249,0.0290678,0.00192542,-0.200736,0.0218748,0.00371075,0.709322,1.30223,11.8442,0.0089967
